Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","10,834.75","10,850.15","10,739.40","10,794.95","-26.65","-0.25","2,607.93","13,084.46","11,760.20","9,951.90","1.53","2.33"
"ITC","291.90","296.00","291.50","294.70","5.10","1.76","167.73","493.48","322.95","252.50","9.39","7.28"
"UPL","775.00","787.00","773.00","781.60","8.50","1.10","26.03","203.65","828.50","537.25","0.35","4.50"
"WIPRO","325.60","329.90","323.50","329.25","3.50","1.07","15.99","52.10","343.95","253.50","0.78","0.38"
"IOC","130.50","131.55","130.35","131.05","1.15","0.89","75.89","99.51","213.70","105.25","-66.36","-0.68"
"HINDALCO","204.00","207.95","204.00","205.60","1.60","0.78","133.14","274.58","276.50","192.35","-23.51","-4.92"
"ONGC","144.00","145.50","143.65","144.30","1.05","0.73","76.65","110.79","212.85","134.75","-27.08","4.49"
"ASIANPAINT","1,399.75","1,406.20","1,392.40","1,406.00","9.65","0.69","4.73","66.33","1,490.60","1,090.10","19.42","6.23"
"INFY","680.20","685.50","672.50","684.35","4.65","0.68","122.82","834.15","754.90","516.53","-34.96","1.46"
"VEDL","195.50","198.30","195.00","196.70","1.25","0.64","82.46","162.24","355.70","186.65","-41.25","1.63"
"HDFC","1,978.00","2,007.70","1,972.40","1,990.25","10.15","0.51","18.14","360.95","2,052.95","1,644.50","15.28","4.46"
"TECHM","694.00","701.25","687.00","697.85","3.30","0.48","18.50","128.44","780.80","533.80","28.73","0.37"
"AXISBANK","665.00","668.50","658.20","666.00","2.75","0.41","83.30","552.60","677.95","481.25","18.34","10.22"
"HCLTECH","935.00","941.00","920.00","939.55","3.70","0.40","21.66","202.00","1,125.05","880.05","2.59","-1.81"
"HDFCBANK","2,113.80","2,124.00","2,108.00","2,115.00","6.50","0.31","16.02","338.76","2,220.00","1,828.50","13.45","2.69"
"BAJAJFINSV","6,355.00","6,389.90","6,291.00","6,388.90","16.95","0.27","1.22","77.70","7,200.00","4,500.00","22.87","9.64"
"BPCL","336.00","339.70","334.55","336.00","0.40","0.12","23.35","78.77","498.20","238.55","-32.03","2.83"
"BAJFINANCE","2,516.00","2,530.00","2,488.00","2,514.00","-0.65","-0.03","8.18","205.18","2,994.00","1,511.20","39.50","3.60"
"KOTAKBANK","1,225.00","1,229.20","1,213.20","1,218.50","-1.05","-0.09","21.29","259.94","1,417.00","1,000.10","21.58","-0.02"
"HINDPETRO","232.00","235.30","231.30","232.50","-0.40","-0.17","31.90","74.58","435.00","163.00","-45.24","5.63"
"NTPC","148.00","150.30","147.20","147.85","-0.25","-0.17","113.17","168.12","180.00","134.05","-15.00","7.64"
"IBULHSGFIN","817.00","820.25","808.00","812.40","-1.85","-0.23","26.08","212.30","1,440.00","639.05","-32.54","17.25"
"EICHERMOT","20,600.00","20,767.30","20,387.00","20,500.00","-56.10","-0.27","1.12","230.82","32,236.70","19,755.00","-27.04","-9.45"
"JSWSTEEL","289.75","294.15","286.45","288.45","-0.85","-0.29","44.84","130.38","427.55","265.60","2.00","-4.15"
"SUNPHARMA","445.05","449.75","441.60","443.05","-1.55","-0.35","37.78","168.38","679.30","390.60","-24.28","4.91"
"ZEEL","452.90","455.25","449.25","449.75","-1.60","-0.35","25.88","116.96","619.00","410.60","-22.52","-6.09"
"COALINDIA","233.70","233.75","231.50","232.00","-1.00","-0.43","24.47","56.94","316.95","228.35","-24.75","-4.17"
"CIPLA","513.40","519.00","508.25","510.95","-2.30","-0.45","20.51","105.20","678.45","503.00","-17.56","-1.49"
"ICICIBANK","380.60","381.20","375.25","377.55","-1.95","-0.51","125.38","473.42","383.55","256.50","21.01","10.14"
"DRREDDY","2,610.80","2,610.80","2,580.00","2,585.35","-15.05","-0.58","3.17","82.10","2,749.95","1,887.00","6.58","-4.82"
"GRASIM","822.50","832.65","811.80","815.00","-5.20","-0.63","12.18","100.08","1,261.10","756.00","-34.03","1.81"
"HEROMOTOCO","2,923.00","2,940.95","2,885.00","2,899.30","-20.20","-0.69","2.59","75.31","3,825.00","2,648.00","-22.41","-4.59"
"BAJAJ-AUTO","2,728.00","2,738.70","2,700.85","2,703.10","-22.20","-0.81","2.60","70.68","3,468.35","2,420.00","-15.72","-1.33"
"TITAN","965.25","969.50","956.80","958.80","-7.90","-0.82","15.36","147.67","999.70","732.30","4.49","2.75"
"POWERGRID","194.90","195.90","193.25","194.00","-1.65","-0.84","16.85","32.75","216.00","174.10","-2.93","7.60"
"HINDUNILVR","1,795.00","1,795.40","1,758.55","1,770.00","-16.20","-0.91","11.14","197.58","1,869.50","1,281.10","29.59","-1.39"
"BHARTIARTL","337.15","337.30","329.00","333.80","-3.50","-1.04","53.38","177.81","517.50","276.85","-34.08","15.00"
"M&M","735.00","735.00","721.25","725.40","-7.80","-1.06","22.15","160.78","993.00","694.00","-4.53","0.42"
"RELIANCE","1,107.60","1,113.80","1,088.60","1,095.50","-12.00","-1.08","64.64","710.58","1,329.00","871.00","16.25","-0.19"
"ULTRACEMCO","3,818.20","3,851.55","3,751.10","3,775.00","-43.20","-1.13","2.49","94.14","4,599.90","3,260.45","-14.27","-2.56"
"MARUTI","7,382.70","7,400.00","7,282.00","7,307.00","-84.60","-1.14","4.88","358.09","9,929.00","6,500.00","-22.07","0.02"
"ADANIPORTS","380.30","381.00","375.10","375.60","-4.65","-1.22","18.30","69.07","452.35","294.10","-11.30","5.58"
"SBIN","305.40","306.20","300.95","301.65","-3.90","-1.28","127.03","385.60","332.75","232.35","0.18","7.25"
"TATASTEEL","483.95","484.25","472.00","473.30","-7.10","-1.48","75.41","361.31","748.11","472.00","-38.76","-5.48"
"LT","1,393.00","1,393.90","1,361.05","1,370.00","-22.60","-1.62","24.89","340.97","1,470.00","1,182.50","3.49","0.63"
"GAIL","343.60","344.80","337.20","337.70","-6.20","-1.80","25.35","86.13","399.40","295.25","-31.93","1.55"
"YESBANK","188.70","189.90","182.75","183.40","-3.50","-1.87","335.95","623.62","404.00","146.75","-46.03","3.12"
"TCS","1,870.00","1,875.00","1,835.00","1,843.45","-45.10","-2.39","92.10","1,703.24","3,674.80","1,711.15","-34.32","-7.83"
"INFRATEL","285.10","286.10","276.15","276.60","-8.45","-2.96","38.40","107.63","378.50","242.25","-25.40","9.26"
"TATAMOTORS","186.55","187.75","179.40","179.80","-5.95","-3.20","259.03","472.78","441.45","154.65","-58.50","13.73"
"INDUSINDBK","1,570.00","1,574.00","1,508.30","1,511.85","-54.05","-3.45","31.81","488.27","2,038.00","1,333.15","-12.82","-2.64"

